Leitura,Leitura_filtrada,Escrita,ModoOperacao,ValorDesejado,CicloInicio,CicloFim
2.538739,2.538739,6.0,0,0.0,7907350361,7907350391
2.542685,2.542685,6.0,0,0.0,7908350381,7908350411
2.534464,2.534464,6.0,0,0.0,7909350394,7909350424
2.533477,2.533477,6.0,0,0.0,7910350407,7910350438
2.53841,2.53841,6.0,0,0.0,7911350447,7911350489
2.532162,2.532162,6.0,0,0.0,7912350444,7912350474
2.528873,2.528873,6.0,0,0.0,7913350462,7913350492
2.528544,2.528544,6.0,0,0.0,7914350477,7914350507
2.525585,2.525585,6.0,0,0.0,7915350496,7915350526
2.530189,2.530189,6.0,0,0.0,7916350519,7916350549
2.527229,2.527229,6.0,0,0.0,7917350533,7917350563
2.526242,2.526242,6.0,0,0.0,7918350470,7918350501
2.529531,2.529531,6.0,0,0.0,7919350561,7919350590
2.529531,2.529531,6.0,0,0.0,7920350578,7920350608
2.52131,2.52131,6.0,0,0.0,7921350452,7921350497
2.523612,2.523612,6.0,0,0.0,7922350610,7922350640
2.529202,2.529202,6.0,0,0.0,7923350624,7923350654
2.521639,2.521639,6.0,0,0.0,7924350638,7924350668
2.518021,2.518021,6.0,0,0.0,7925350663,7925350693
2.514075,2.514075,6.0,0,0.0,7926350679,7926350709
2.514733,2.514733,6.0,0,0.0,7927350692,7927350723
2.527887,2.51539,6.0,0,0.0,7928350713,7928350743
2.529202,2.529202,6.0,0,0.0,7929350726,7929350756
2.533477,2.533477,6.0,0,0.0,7930350746,7930350777
2.514733,2.537752,6.0,0,0.0,7931350774,7931350804
2.521639,2.521639,6.0,0,0.0,7932350807,7932350837
2.515061,2.515061,6.0,0,0.0,7933350794,7933350824
2.508813,2.508813,6.0,0,0.0,7934350811,7934350841
2.500921,2.500921,6.0,0,0.0,7935350823,7935350854
2.512759,2.494673,6.0,0,0.0,7936350839,7936350869
2.510458,2.510458,6.0,0,0.0,7937350862,7937350892
2.519008,2.519008,6.0,0,0.0,7938350873,7938350903
2.514733,2.514733,6.0,0,0.0,7939350887,7939350917
2.517035,2.517035,6.0,0,0.0,7940350905,7940350935
2.519665,2.519665,6.0,0,0.0,7941350938,7941350968
2.522296,2.522296,6.0,0,0.0,7942350942,7942350972
2.51539,2.51539,6.0,0,0.0,7943350961,7943350991
2.520323,2.520323,6.0,0,0.0,7944350972,7944351002
2.519994,2.519994,6.0,0,0.0,7945350993,7945351023
2.512759,2.512759,6.0,0,0.0,7946350961,7946350991
2.515061,2.515061,6.0,0,0.0,7947351026,7947351056
2.513417,2.513417,6.0,0,0.0,7948350996,7948351025
2.516377,2.516377,6.0,0,0.0,7949351058,7949351088
2.510129,2.510129,6.0,0,0.0,7950350996,7950351026
2.510129,2.510129,6.0,0,0.0,7951351097,7951351127
2.507498,2.507498,6.0,0,0.0,7952351109,7952351139
2.507498,2.507498,6.0,0,0.0,7953351122,7953351153
2.497632,2.497632,6.0,0,0.0,7954351132,7954351162
2.493357,2.493357,6.0,0,0.0,7955351109,7955351139
2.526571,2.489082,6.0,0,0.0,7956351160,7956351190
2.506511,2.506511,6.0,0,0.0,7957351142,7957351173
2.516377,2.516377,6.0,0,0.0,7958351150,7958351181
2.517035,2.517035,6.0,0,0.0,7959351156,7959351186
2.517035,2.517035,6.0,0,0.0,7960351165,7960351195
2.50684,2.50684,6.0,0,0.0,7961351147,7961351178
2.513417,2.513417,6.0,0,0.0,7962351290,7962351321
2.510129,2.510129,6.0,0,0.0,7963351291,7963351337
2.511773,2.511773,6.0,0,0.0,7964351302,7964351368
2.510786,2.510786,6.0,0,0.0,7965351327,7965351358
2.51539,2.51539,6.0,0,0.0,7966351342,7966351373
2.515719,2.515719,6.0,0,0.0,7967351360,7967351391
2.511444,2.511444,6.0,0,0.0,7968351379,7968351410
2.510786,2.510786,6.0,0,0.0,7969351394,7969351424
2.515719,2.515719,6.0,0,0.0,7970351409,7970351439
2.509471,2.509471,6.0,0,0.0,7971351438,7971351468
2.507169,2.507169,6.0,0,0.0,7972351439,7972351470
2.502236,2.502236,6.0,0,0.0,7973351445,7973351475
2.508156,2.508156,6.0,0,0.0,7974351481,7974351511
2.507169,2.507169,6.0,0,0.0,7975351489,7975351519
2.509471,2.509471,6.0,0,0.0,7976351518,7976351548
2.508484,2.508484,6.0,0,0.0,7977351531,7977351561
2.510129,2.510129,6.0,0,0.0,7978351450,7978351481
2.505525,2.505525,6.0,0,0.0,7979351522,7979351552
2.505854,2.505854,6.0,0,0.0,7980351560,7980351590
2.506182,2.506182,6.0,0,0.0,7981351602,7981351632
2.505525,2.505525,6.0,0,0.0,7982351601,7982351632
2.502894,2.502894,6.0,0,0.0,7983351621,7983351651
2.506182,2.506182,6.0,0,0.0,7984351640,7984351671
2.502236,2.502236,6.0,0,0.0,7985351586,7985351616
2.506511,2.506511,6.0,0,0.0,7986351660,7986351690
2.525585,2.510786,6.0,0,0.0,7987351636,7987351665
2.496975,2.515061,6.0,0,0.0,7988351705,7988351735
2.509471,2.509471,6.0,0,0.0,7989351721,7989351752
2.502236,2.502236,6.0,0,0.0,7990351738,7990351768
2.502565,2.502565,6.0,0,0.0,7991351768,7991351797
2.506511,2.506511,6.0,0,0.0,7992351772,7992351802
2.502236,2.502236,6.0,0,0.0,7993351793,7993351823
2.500263,2.500263,6.0,0,0.0,7994351822,7994351851
2.505525,2.505525,6.0,0,0.0,7995351799,7995351841
2.503552,2.503552,6.0,0,0.0,7996351835,7996351865
2.505196,2.505196,6.0,0,0.0,7997351851,7997351881
2.50388,2.50388,6.0,0,0.0,7998351870,7998351900
2.505854,2.505854,6.0,0,0.0,7999351867,7999351897
2.508813,2.508813,6.0,0,0.0,8000351893,8000351925
2.510786,2.510786,6.0,0,0.0,8001351661,8001351692
2.496646,2.512759,6.0,0,0.0,8002351924,8002351954
2.50125,2.50125,6.0,0,0.0,8003351941,8003351972
2.500263,2.48974,6.0,0,0.0,8004351970,8004352008
2.501907,2.501907,6.0,0,0.0,8005351978,8005352020
2.502894,2.502894,6.0,0,0.0,8006351985,8006352026
2.504209,2.504209,6.0,0,0.0,8007352018,8007352054
2.497303,2.497303,6.0,0,0.0,8008352066,8008352109
2.50684,2.50684,6.0,0,0.0,8009352032,8009352065
2.508484,2.508484,6.0,0,0.0,8010352083,8010352128
2.503552,2.503552,6.0,0,0.0,8011352102,8011352132
2.509142,2.509142,6.0,0,0.0,8012352115,8012352145
2.50684,2.50684,6.0,0,0.0,8013352135,8013352165
2.507169,2.507169,6.0,0,0.0,8014352160,8014352190
2.504538,2.504538,6.0,0,0.0,8015352160,8015352189
2.50684,2.50684,6.0,0,0.0,8016352191,8016352221
2.507169,2.507169,6.0,0,0.0,8017352186,8017352216
2.508484,2.508484,6.0,0,0.0,8018352224,8018352254
2.510458,2.510458,6.0,0,0.0,8019352239,8019352270
2.503552,2.503552,6.0,0,0.0,8020352247,8020352278
2.505854,2.505854,6.0,0,0.0,8021352264,8021352295
2.506511,2.506511,6.0,0,0.0,8022352276,8022352307
2.508484,2.508484,6.0,0,0.0,8023352307,8023352338
2.50684,2.50684,6.0,0,0.0,8024352147,8024352177
2.497303,2.497303,6.0,0,0.0,8025352343,8025352374
2.497961,2.497961,6.0,0,0.0,8026352355,8026352385
2.497303,2.497303,6.0,0,0.0,8027352369,8027352400
2.50684,2.497961,6.0,0,0.0,8028352365,8028352395
2.487767,2.487767,6.0,0,0.0,8029352374,8029352405
2.512759,2.512759,6.0,0,0.0,8030352383,8030352413
2.50684,2.50684,6.0,0,0.0,8031352375,8031352417
2.501578,2.501578,6.0,0,0.0,8032352380,8032352410
2.510786,2.510786,6.0,0,0.0,8033352387,8033352417
2.505854,2.505854,6.0,0,0.0,8034352384,8034352415
2.502894,2.502894,6.0,0,0.0,8035352366,8035352396
2.502236,2.502236,6.0,0,0.0,8036352354,8036352384
2.499276,2.499276,6.0,0,0.0,8037352390,8037352421
2.508813,2.508813,6.0,0,0.0,8038352373,8038352403
2.506511,2.506511,6.0,0,0.0,8039352363,8039352394
2.503552,2.503552,6.0,0,0.0,8040352373,8040352403
2.507827,2.507827,6.0,0,0.0,8041352330,8041352360
2.505525,2.505525,6.0,0,0.0,8042352385,8042352416
2.510786,2.510786,6.0,0,0.0,8043352319,8043352349
2.50388,2.50388,6.0,0,0.0,8044352400,8044352431
2.505525,2.505525,6.0,0,0.0,8045352408,8045352439
2.508156,2.508156,6.0,0,0.0,8046352588,8046352618
2.504538,2.504538,6.0,0,0.0,8047352455,8047352485
2.509142,2.509142,6.0,0,0.0,8048352458,8048352489
2.520652,2.520652,6.0,0,0.0,8049352634,8049352664
2.500921,2.525256,6.0,0,0.0,8050352541,8050352571
2.512759,2.512759,6.0,0,0.0,8051352562,8051352594
2.498619,2.498619,6.0,0,0.0,8052352494,8052352537
2.489411,2.489411,6.0,0,0.0,8053352679,8053352709
2.503552,2.480203,6.0,0,0.0,8054352694,8054352725
2.496317,2.496317,6.0,0,0.0,8055352708,8055352738
2.505196,2.505196,6.0,0,0.0,8056352722,8056352753
2.502565,2.502565,6.0,0,0.0,8057352736,8057352767
2.505196,2.505196,6.0,0,0.0,8058352746,8058352776
2.500921,2.500921,6.0,0,0.0,8059352768,8059352799
2.500263,2.500263,6.0,0,0.0,8060352788,8060352818
2.510458,2.510458,6.0,0,0.0,8061352811,8061352841
2.511115,2.511115,6.0,0,0.0,8062352824,8062352854
2.519994,2.519994,6.0,0,0.0,8063352839,8063352870
2.513088,2.513088,6.0,0,0.0,8064352857,8064352887
2.507498,2.507498,6.0,0,0.0,8065352875,8065352905
2.502565,2.502565,6.0,0,0.0,8066352786,8066352815
2.499934,2.499934,6.0,0,0.0,8067352899,8067352929
2.509471,2.497303,6.0,0,0.0,8068352927,8068352957
2.510129,2.510129,6.0,0,0.0,8069352875,8069352905
2.501907,2.519665,6.0,0,0.0,8070352963,8070352994
2.499276,2.499276,6.0,0,0.0,8071352901,8071352945
2.499276,2.499276,6.0,0,0.0,8072353000,8072353030
2.506511,2.506511,6.0,0,0.0,8073353013,8073353043
2.503552,2.503552,6.0,0,0.0,8074353036,8074353066
2.494015,2.494015,6.0,0,0.0,8075353046,8075353077
2.497961,2.497961,6.0,0,0.0,8076353069,8076353099
2.507169,2.507169,6.0,0,0.0,8077353084,8077353114
2.509142,2.509142,6.0,0,0.0,8078353092,8078353122
2.504538,2.504538,6.0,0,0.0,8079353115,8079353146
2.505525,2.505525,6.0,0,0.0,8080352919,8080352961
2.504209,2.504209,6.0,0,0.0,8081353079,8081353109
2.508484,2.508484,6.0,0,0.0,8082353172,8082353202
2.511444,2.511444,6.0,0,0.0,8083353190,8083353220
2.5098,2.5098,6.0,0,0.0,8084353211,8084353241
2.505854,2.505854,6.0,0,0.0,8085353228,8085353258
2.5098,2.5098,6.0,0,0.0,8086353241,8086353271
2.507498,2.507498,6.0,0,0.0,8087353240,8087353271
2.505525,2.505525,6.0,0,0.0,8088353275,8088353305
2.507827,2.507827,6.0,0,0.0,8089353283,8089353313
2.507169,2.507169,6.0,0,0.0,8090353299,8090353330
2.507827,2.507827,6.0,0,0.0,8091353243,8091353272
2.518679,2.508484,6.0,0,0.0,8092353344,8092353374
2.509142,2.509142,6.0,0,0.0,8093353358,8093353388
2.512431,2.512431,6.0,0,0.0,8094353382,8094353412
2.510786,2.510786,6.0,0,0.0,8095353394,8095353423
2.507498,2.507498,6.0,0,0.0,8096353406,8096353437
2.509142,2.509142,6.0,0,0.0,8097353425,8097353456
2.506182,2.506182,6.0,0,0.0,8098353450,8098353480
2.505196,2.505196,6.0,0,0.0,8099353421,8099353451
2.491055,2.502236,6.0,0,0.0,8100353484,8100353514
2.505196,2.505196,6.0,0,0.0,8101353514,8101353543
2.500921,2.500921,6.0,0,0.0,8102353517,8102353548
2.511773,2.511773,6.0,0,0.0,8103353358,8103353388
2.516048,2.516048,6.0,0,0.0,8104353556,8104353586
2.514733,2.514733,6.0,0,0.0,8105353575,8105353606
2.505525,2.505525,6.0,0,0.0,8106353586,8106353616
2.484149,2.484149,6.0,0,0.0,8107353600,8107353630
2.510458,2.474941,6.0,0,0.0,8108353622,8108353652
2.506511,2.506511,6.0,0,0.0,8109353639,8109353669
2.507498,2.53282,6.0,0,0.0,8110353662,8110353692
2.515719,2.515719,6.0,0,0.0,8111353687,8111353717
2.498619,2.498619,6.0,0,0.0,8112353696,8112353726
2.502565,2.502565,6.0,0,0.0,8113353707,8113353738
2.510129,2.510129,6.0,0,0.0,8114353720,8114353751
2.506182,2.506182,6.0,0,0.0,8115353739,8115353768
2.511773,2.511773,6.0,0,0.0,8116353758,8116353789
2.508484,2.508484,6.0,0,0.0,8117353776,8117353806
2.510786,2.510786,5.0,0,0.0,8118353572,8118353602
2.512759,2.512759,5.0,0,0.0,8119353808,8119353838
2.513088,2.513088,5.0,0,0.0,8120353830,8120353860
2.516377,2.516377,5.0,0,0.0,8121353865,8121353894
2.505196,2.505196,5.0,0,0.0,8122353863,8122353893
2.505196,2.505196,5.0,0,0.0,8123353879,8123353909
2.520652,2.520652,5.0,0,0.0,8124353890,8124353921
2.524269,2.524269,5.0,0,0.0,8125353913,8125353944
2.543343,2.543343,5.0,0,0.0,8126353919,8126353976
2.532491,2.532491,5.0,0,0.0,8127353944,8127353974
2.554524,2.554524,5.0,0,0.0,8128353962,8128353993
2.568007,2.568007,5.0,0,0.0,8129353990,8129354020
2.574255,2.574255,5.0,0,0.0,8130353999,8130354029
2.579846,2.579846,5.0,0,0.0,8131353968,8131354011
2.586423,2.586423,5.0,0,0.0,8132354036,8132354067
2.585765,2.585765,5.0,0,0.0,8133354033,8133354063
2.594315,2.594315,5.0,0,0.0,8134354021,8134354051
2.596946,2.596946,5.0,0,0.0,8135354083,8135354113
